Patient ID,PDO,Drug,IC50(µM),LOG10 IC50(µM),Response category,Emax(% maximum inhibition)
288_MET,288_MET_CELL,selumetinib,0.0479,-1.3197,Moderate response,74.79
288_MET,288_MET_CELL,staurosporine,0.0149,-1.8268,Strong response,102.10
288_MET,288_MET_CELL,irinotecan,23.8755,1.3780,Resistant,77.50
292_MET,292_MET_CELL,gefitinib,60.0000,1.7782,Resistant,103.80
292_MET,292_MET_CELL,selumetinib,18.0741,1.2571,Resistant,81.19
292_MET,292_MET_CELL,regorafenib,15.9985,1.2041,Resistant,90.90
292_MET,292_MET_CELL,AZD8931,15.6690,1.1950,Resistant,94.80
292_MET,292_MET_CELL,sorafenib,13.5044,1.1305,Resistant,103.60
292_MET,292_MET_CELL,sunitinib,9.5643,0.9807,Resistant,106.10
292_MET,292_MET_CELL,linifanib,9.3995,0.9731,Resistant,102.43
292_MET,292_MET_CELL,nintedanib,7.9741,0.9017,Resistant,102.17
292_MET,292_MET_CELL,afatinib,5.2455,0.7198,Resistant,76.00
292_MET,292_MET_CELL,vandetanib,2.6493,0.4231,Minor response,105.50
292_MET,292_MET_CELL,BI 860585,2.3138,0.3643,Minor response,104.40
292_MET,292_MET_CELL,5-FU,>60.0000,1.7782,Resistant,32.10
292_MET,292_MET_CELL,oxaliplatin,>60.0000,1.7782,Resistant,19.60
292_MET,292_MET_CELL,staurosporine,0.0020,-2.6990,Strong response,104.19
292_MET,292_MET_CELL,irinotecan,44.3364,1.6468,Resistant,57.10
299_T1,299_T1_CELL,sorafenib,20.5081,1.3119,Resistant,99.60
299_T1,299_T1_CELL,linifanib,13.5232,1.1311,Resistant,92.87
299_T1,299_T1_CELL,regorafenib,10.6571,1.0276,Resistant,97.80
299_T1,299_T1_CELL,oxaliplatin,9.4085,0.9735,Resistant,56.60
299_T1,299_T1_CELL,nintedanib,7.1378,0.8536,Resistant,98.75
299_T1,299_T1_CELL,sunitinib,6.4517,0.8097,Resistant,100.00
299_T1,299_T1_CELL,selumetinib,5.1540,0.7121,Resistant,94.10
299_T1,299_T1_CELL,5-FU,2.0789,0.3178,Minor response,61.60
299_T1,299_T1_CELL,vandetanib,1.9130,0.2817,Minor response,100.00
299_T1,299_T1_CELL,BI 860585,0.7704,-0.1133,Minor response,99.60
299_T1,299_T1_CELL,gefitinib,0.6678,-0.1754,Minor response,99.90
299_T1,299_T1_CELL,AZD8931,0.1516,-0.8193,Moderate response,97.70
299_T1,299_T1_CELL,afatinib,0.0795,-1.0996,Moderate response,100.00
299_T1,299_T1_CELL,staurosporine,0.0195,-1.7100,Strong response,99.96
299_T1,299_T1_CELL,irinotecan,9.2268,0.9651,Resistant,74.50
300_T,300_T_CELL,selumetinib,16.7201,1.2232,Resistant,98.97
300_T,300_T_CELL,AZD8931,14.9039,1.1733,Resistant,99.90
300_T,300_T_CELL,gefitinib,11.8565,1.0740,Resistant,101.10
300_T,300_T_CELL,vandetanib,9.3525,0.9709,Resistant,101.50
300_T,300_T_CELL,linifanib,8.5322,0.9311,Resistant,100.10
300_T,300_T_CELL,nintedanib,7.9518,0.9005,Resistant,101.30
300_T,300_T_CELL,sunitinib,7.5594,0.8785,Resistant,101.80
300_T,300_T_CELL,afatinib,6.3045,0.7997,Resistant,101.80
300_T,300_T_CELL,regorafenib,5.3042,0.7246,Resistant,98.50
300_T,300_T_CELL,sorafenib,4.3084,0.6343,Minor response,101.90
300_T,300_T_CELL,BI 860585,1.2601,0.1004,Minor response,101.70
300_T,300_T_CELL,5-FU,>60.0000,1.7782,Resistant,23.90
300_T,300_T_CELL,oxaliplatin,>60.0000,1.7782,Resistant,41.30
300_T,300_T_CELL,staurosporine,0.0901,-1.0453,Moderate response,100.49
300_T,300_T_CELL,irinotecan,10.5853,1.0247,Resistant,88.00
302_MET,302_MET_CELL,gefitinib,60.0000,1.7782,Resistant,99.50
302_MET,302_MET_CELL,sorafenib,60.0000,1.7782,Resistant,99.10
302_MET,302_MET_CELL,nintedanib,24.1781,1.3834,Resistant,99.79
302_MET,302_MET_CELL,linifanib,20.0000,1.3010,Resistant,92.76
302_MET,302_MET_CELL,afatinib,15.3661,1.1866,Resistant,99.90
302_MET,302_MET_CELL,BI 860585,12.3045,1.0901,Resistant,92.00
302_MET,302_MET_CELL,regorafenib,11.9193,1.0763,Resistant,98.60
302_MET,302_MET_CELL,sunitinib,8.0256,0.9045,Resistant,99.70
302_MET,302_MET_CELL,vandetanib,0.1986,-0.7020,Moderate response,56.10
302_MET,302_MET_CELL,5-FU,>60.0000,1.7782,Resistant,19.70
302_MET,302_MET_CELL,AZD8931,>60.0000,1.7782,Resistant,37.30
302_MET,302_MET_CELL,oxaliplatin,>60.0000,1.7782,Resistant,19.10
302_MET,302_MET_CELL,staurosporine,0.0790,-1.1024,Moderate response,100.02
302_MET,302_MET_CELL,selumetinib,0.0604,-1.2190,Moderate response,75.56
302_MET,302_MET_CELL,irinotecan,29.8935,1.4756,Resistant,66.60
315_MET,315_MET_CELL,gefitinib,60.0000,1.7782,Resistant,101.80
315_MET,315_MET_CELL,selumetinib,28.2495,1.4510,Resistant,86.24
315_MET,315_MET_CELL,sorafenib,11.5169,1.0613,Resistant,96.20
315_MET,315_MET_CELL,vandetanib,10.9707,1.0402,Resistant,101.40
315_MET,315_MET_CELL,afatinib,10.8866,1.0369,Resistant,103.10
315_MET,315_MET_CELL,linifanib,8.7756,0.9433,Resistant,85.26
315_MET,315_MET_CELL,sunitinib,7.4168,0.8702,Resistant,103.10
315_MET,315_MET_CELL,regorafenib,6.5026,0.8131,Resistant,91.10
315_MET,315_MET_CELL,nintedanib,2.0735,0.3167,Minor response,103.00
315_MET,315_MET_CELL,5-FU,2.0082,0.3028,Minor response,53.20
315_MET,315_MET_CELL,BI 860585,1.5264,0.1837,Minor response,101.80
315_MET,315_MET_CELL,AZD8931,>60.0000,1.7782,Resistant,43.50
315_MET,315_MET_CELL,oxaliplatin,>60.0000,1.7782,Resistant,-12.60
315_MET,315_MET_CELL,staurosporine,0.0025,-2.6021,Strong response,100.52
326_T,326_T_CELL,sorafenib,17.0930,1.2328,Resistant,101.90
326_T,326_T_CELL,sunitinib,6.7913,0.8320,Resistant,102.00
326_T,326_T_CELL,regorafenib,5.7213,0.7575,Resistant,100.50
326_T,326_T_CELL,BI 860585,4.3265,0.6361,Minor response,100.10
326_T,326_T_CELL,nintedanib,3.3659,0.5271,Minor response,99.67
326_T,326_T_CELL,linifanib,2.9706,0.4728,Minor response,89.12
326_T,326_T_CELL,vandetanib,0.7267,-0.1386,Minor response,102.00
326_T,326_T_CELL,selumetinib,0.2431,-0.6142,Moderate response,96.10
326_T,326_T_CELL,AZD8931,0.2116,-0.6745,Moderate response,98.90
326_T,326_T_CELL,afatinib,0.1927,-0.7151,Moderate response,102.10
326_T,326_T_CELL,gefitinib,0.1219,-0.9140,Moderate response,101.60
326_T,326_T_CELL,5-FU,>60.0000,1.7782,Resistant,46.80
326_T,326_T_CELL,oxaliplatin,>60.0000,1.7782,Resistant,-0.50
326_T,326_T_CELL,staurosporine,0.0160,-1.7959,Strong response,99.59
326_T,326_T_CELL,irinotecan,6.1808,0.7910,Resistant,82.40
327_T,327_T_CELL,sorafenib,7.2008,0.8574,Resistant,99.70
327_T,327_T_CELL,linifanib,5.2697,0.7218,Resistant,99.77
327_T,327_T_CELL,regorafenib,4.8145,0.6826,Minor response,100.00
327_T,327_T_CELL,nintedanib,3.2472,0.5115,Minor response,99.84
327_T,327_T_CELL,5-FU,2.8226,0.4506,Minor response,83.50
327_T,327_T_CELL,vandetanib,2.1643,0.3353,Minor response,99.90
327_T,327_T_CELL,sunitinib,1.6861,0.2269,Minor response,99.70
327_T,327_T_CELL,oxaliplatin,1.4631,0.1653,Minor response,85.70
327_T,327_T_CELL,gefitinib,0.4801,-0.3187,Minor response,99.60
327_T,327_T_CELL,BI 860585,0.3181,-0.4974,Moderate response,99.90
327_T,327_T_CELL,selumetinib,0.1515,-0.8196,Moderate response,99.75
327_T,327_T_CELL,AZD8931,0.0428,-1.3686,Moderate response,99.70
327_T,327_T_CELL,afatinib,0.0074,-2.1308,Strong response,100.00
327_T,327_T_CELL,staurosporine,0.0007,-3.1549,Strong response,99.96
327_T,327_T_CELL,irinotecan,1.8114,0.2580,Minor response,91.90
330_T,330_T_CELL,regorafenib,23.9985,1.3802,Resistant,92.40
330_T,330_T_CELL,linifanib,17.5952,1.2454,Resistant,93.51
330_T,330_T_CELL,sorafenib,14.7063,1.1675,Resistant,105.60
330_T,330_T_CELL,sunitinib,9.0341,0.9559,Resistant,108.40
330_T,330_T_CELL,nintedanib,5.9894,0.7774,Resistant,108.18
330_T,330_T_CELL,vandetanib,2.8352,0.4526,Minor response,105.70
330_T,330_T_CELL,gefitinib,2.0101,0.3032,Minor response,103.60
330_T,330_T_CELL,5-FU,0.5057,-0.2961,Minor response,59.00
330_T,330_T_CELL,selumetinib,0.3520,-0.4535,Moderate response,97.51
330_T,330_T_CELL,oxaliplatin,0.1935,-0.7133,Moderate response,55.90
330_T,330_T_CELL,BI 860585,0.1915,-0.7178,Moderate response,104.50
330_T,330_T_CELL,AZD8931,0.1153,-0.9382,Moderate response,95.40
330_T,330_T_CELL,afatinib,0.0386,-1.4134,Moderate response,108.00
330_T,330_T_CELL,staurosporine,0.0222,-1.6536,Strong response,101.68
330_T,330_T_CELL,irinotecan,2.1361,0.3296,Minor response,69.30
352_MET,352_MET_CELL,gefitinib,8.9871,0.9536,Resistant,100.60
352_MET,352_MET_CELL,sorafenib,6.2573,0.7964,Resistant,100.40
352_MET,352_MET_CELL,linifanib,5.9985,0.7780,Resistant,100.12
352_MET,352_MET_CELL,regorafenib,5.6538,0.7523,Resistant,97.70
352_MET,352_MET_CELL,AZD8931,3.7490,0.5739,Minor response,100.60
352_MET,352_MET_CELL,afatinib,3.1251,0.4949,Minor response,101.10
352_MET,352_MET_CELL,vandetanib,2.9300,0.4669,Minor response,101.10
352_MET,352_MET_CELL,sunitinib,2.5959,0.4143,Minor response,101.10
352_MET,352_MET_CELL,nintedanib,2.0213,0.3056,Minor response,100.90
352_MET,352_MET_CELL,5-FU,1.8544,0.2682,Minor response,64.40
352_MET,352_MET_CELL,selumetinib,0.9643,-0.0158,Minor response,100.22
352_MET,352_MET_CELL,BI 860585,0.7192,-0.1432,Minor response,101.10
352_MET,352_MET_CELL,oxaliplatin,>60.0000,1.7782,Resistant,20.50
352_MET,352_MET_CELL,staurosporine,0.0080,-2.0969,Strong response,100.54
352_MET,352_MET_CELL,irinotecan,21.4537,1.3315,Resistant,81.50
364_MET,364_MET_CELL,oxaliplatin,33.2990,1.5224,Resistant,65.70
364_MET,364_MET_CELL,linifanib,27.0050,1.4314,Resistant,93.45
364_MET,364_MET_CELL,regorafenib,14.8816,1.1726,Resistant,98.00
364_MET,364_MET_CELL,sorafenib,14.1781,1.1516,Resistant,99.60
364_MET,364_MET_CELL,sunitinib,7.6416,0.8832,Resistant,100.00
364_MET,364_MET_CELL,nintedanib,7.2231,0.8587,Resistant,100.05
364_MET,364_MET_CELL,AZD8931,6.5080,0.8134,Resistant,88.30
364_MET,364_MET_CELL,vandetanib,5.5518,0.7444,Resistant,100.10
364_MET,364_MET_CELL,gefitinib,4.7125,0.6733,Minor response,99.80
364_MET,364_MET_CELL,selumetinib,1.8302,0.2625,Minor response,86.63
364_MET,364_MET_CELL,BI 860585,0.5730,-0.2418,Minor response,99.10
364_MET,364_MET_CELL,afatinib,0.3685,-0.4336,Moderate response,100.10
364_MET,364_MET_CELL,5-FU,>60.0000,1.7782,Resistant,35.10
364_MET,364_MET_CELL,staurosporine,0.0593,-1.2269,Moderate response,100.14
364_MET,364_MET_CELL,irinotecan,40.6065,1.6086,Resistant,63.80
